Site,Season,mean_Chgouldii,mean_Chmorio
1 moderate,1,240,34
1 moderate,2,154,24
10 moderate,1,17,3
10 moderate,2,16,10
11 open,1,2,1
11 open,2,2,0
12 open,1,2,0
12 open,2,0,0
13 open,1,23,0
13 open,2,9,0
14 open,1,22,0
14 open,2,104,1
16 open,1,23,10
16 open,2,0,41
18 moderate,1,37,9
18 moderate,2,43,0
19 high density,1,276,0
19 high density,2,220,0
2 open,1,1,2
2 open,2,0,0
20 moderate,1,80,1
20 moderate,2,26,5
22 open,1,20,2
22 open,2,48,0
25 high density,1,2,1
25 high density,2,30,1
26 high density,1,20,10
26 high density,2,5,2
27 open,1,30,7
27 open,2,37,5
28 open,1,7,1
28 open,2,29,0
3 open,1,0,0
3 open,2,6,3
30 moderate,1,24,3
30 moderate,2,18,4
31 high density,1,17,12
31 high density,2,0,2
32 moderate,1,63,1
32 moderate,2,78,1
33 high density,1,80,0
33 high density,2,73,0
34 moderate,1,23,0
34 moderate,2,14,1
35 moderate,1,201,49
35 moderate,2,140,6
36 high density,1,43,6
36 high density,2,85,2
37 high density,1,42,47
37 high density,2,0,70
38 high density,1,50,0
38 high density,2,50,2
39 moderate,1,36,2
39 moderate,2,30,2
4 moderate,1,20,4
4 moderate,2,65,18
40 high density,1,13,21
40 high density,2,0,0
41 high density,1,65,7
41 high density,2,13,2
43 moderate,1,0,0
43 moderate,2,34,0
44 moderate,1,149,21
44 moderate,2,35,20
45 open,1,9,0
45 open,2,6,0
6 moderate,1,2,1
6 moderate,2,8,0
8 open,1,0,0
8 open,2,0,0
9 high density,1,5,0
9 high density,2,21,9
Albert Park,1,151,0
Albert Park,2,38,2
Amber,1,3,10
Amber,2,6,9
Banjo,1,52,3
Banjo,2,17,0
Blackburn,1,117,1
Blackburn,2,0,1
Boardwalk,1,0,0
Boardwalk,2,0,0
Bonview,1,120,158
Bonview,2,35,12
Botanica,1,206,13
Botanica,2,55,24
Braeside,1,28,38
Braeside,2,37,20
Brighton,1,253,49
Brighton,2,112,27
Brodies,1,23,1
Brodies,2,13,0
Bundoora,1,121,13
Bundoora,2,61,2
Canterbury,1,210,25
Canterbury,2,287,11
Carramar,1,23,2
Carramar,2,14,2
Cherry,1,0,3
Cherry,2,80,0
Croydon,1,20,0
Croydon,2,2,0
Edithvale,1,4,12
Edithvale,2,2,32
Elizabeth,1,534,26
Elizabeth,2,125,9
Elsternwick,1,36,0
Elsternwick,2,160,0
Epsom,1,0,0
Epsom,2,39,0
Ferny Crrek,1,226,65
Ferny Crrek,2,92,125
Greenslope,1,44,79
Greenslope,2,24,20
Herritage,1,5,1
Herritage,2,3,0
Highlands,1,5,1
Highlands,2,0,0
Hill Lake,1,72,16
Hill Lake,2,0,0
Illawong,1,18,37
Illawong,2,12,1
Jackropper,1,137,1
Jackropper,2,9,1
Kalparrin,1,37,20
Kalparrin,2,0,0
Kinterbury,1,22,0
Kinterbury,2,35,0
Koonung,1,233,2
Koonung,2,129,2
Lakewood,1,10,40
Lakewood,2,0,14
Landcox,1,0,0
Landcox,2,182,74
Leamington,1,8,0
Leamington,2,3,0
Lilydale,1,33,9
Lilydale,2,33,32
Mill Park,1,23,7
Mill Park,2,95,38
Monteray,1,270,13
Monteray,2,91,12
Mt St Joseph,1,56,3
Mt St Joseph,2,0,0
Mullum,1,161,12
Mullum,2,150,11
Newells,1,10,2
Newells,2,19,11
Nillumbik,1,26,55
Nillumbik,2,23,85
Old Joes,1,43,130
Old Joes,2,254,88
Pezzimenti,1,116,42
Pezzimenti,2,22,17
Queens Park,1,48,1
Queens Park,2,7,0
Redleap,1,406,24
Redleap,2,20,68
Ringwood,1,115,1
Ringwood,2,55,1
Shankland,1,0,0
Shankland,2,18,2
Southern Road,1,7,80
Southern Road,2,22,0
Station Waters,1,17,0
Station Waters,2,71,0
Stockland,1,188,9
Stockland,2,77,8
Tim Nev,1,2,1
Tim Nev,2,13,3
Truganina,1,0,0
Truganina,2,17,1
Valley Reserve,1,166,2
Valley Reserve,2,3,4
Watervale,1,260,0
Watervale,2,51,0
Waterways Bowen,1,1,0
Waterways Bowen,2,0,0
Wattle Park,1,444,4
Wattle Park,2,94,6
Woodland,1,35,0
Woodland,2,13,3
Wurundjeri,1,20,0
Wurundjeri,2,3,1
Yarrunga,1,268,31
Yarrunga,2,74,8
